policy,spending
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,1
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,1
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,2
healthcare,2
healthcare,1
healthcare,3
healthcare,
healthcare,1
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,2
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,3
healthcare,2
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,2
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,3
healthcare,
healthcare,1
healthcare,3
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,1
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,1
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,2
healthcare,2
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,1
healthcare,2
healthcare,3
healthcare,3
healthcare,2
healthcare,3
healthcare,1
healthcare,
healthcare,2
healthcare,3
healthcare,2
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,1
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,1
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,1
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,2
healthcare,2
healthcare,1
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,1
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,1
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,1
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,1
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,2
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,1
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,1
healthcare,
healthcare,1
healthcare,2
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,2
healthcare,1
healthcare,
healthcare,1
healthcare,
healthcare,3
healthcare,
healthcare,1
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,1
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,1
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,2
healthcare,3
healthcare,2
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,1
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,2
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,2
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,2
healthcare,1
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,1
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,1
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,1
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,3
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,2
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,2
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,3
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,
healthcare,2
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,2
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,
healthcare,
healthcare,3
healthcare,3
healthcare,2
healthcare,3
healthcare,3
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,
healthcare,3
healthcare,3
